protein,CC,ECC,SL_Nb,GO_Nb,degree,essential,MEM_FET
Q0050,0.0,0.0,0.0,0.0,1,0,0.0
YER142C,0.021645021645021644,0.3226939726939727,22.0,7.0,22,0,1.3226939726939726
Q0080,1.0,0.017195767195767195,2.0,0.0,2,0,1.0171957671957672
YBL099W,0.026843357118586476,2.805078114120175,341.85,195.34141064473883,109,0,3.805078114120175
YJR121W,0.021872265966754154,2.7659059800080326,306.75,248.8071428571429,127,0,3.7659059800080326
Q0085,0.7619047619047619,3.3115079365079363,7.0,15.335714285714284,7,0,4.311507936507937
YDR298C,0.8,1.248346560846561,26.9,10.333333333333334,5,0,2.248346560846561
YDR377W,0.8666666666666667,2.760978835978836,6.0,16.166666666666664,6,0,3.760978835978836
YKL016C,0.7142857142857143,2.949404761904762,28.9,20.33333333333333,7,0,3.949404761904762
YML081C-A,0.8,2.5050264550264547,6.0,12.45,6,0,3.5050264550264547
YPL078C,0.3055555555555556,0.9908326967150497,25.916666666666668,14.35,9,0,1.9908326967150498
Q0130,1.0,0.017195767195767195,2.0,0.0,2,0,1.0171957671957672
Q0250,0.3333333333333333,0.8333333333333333,2.0,0.0,3,0,1.2333333333333334
YBR024W,0.16666666666666666,0.6666666666666666,2.0,0.0,4,1,0.9166666666666666
YBR037C,0.3333333333333333,0.8333333333333333,2.0,0.0,3,0,1.2333333333333334
YER154W,0.0,0.0,0.0,0.0,6,0,0.0
Q0275,0.0,0.0,0.0,0.0,1,0,0.0
R0020C,0.0,0.0,0.0,0.0,3,0,0.0
YBL056W,0.06461538461538462,0.816742263653727,55.791666666666664,32.2,26,0,1.816742263653727
YBR217W,0.03076923076923077,2.6731765637680605,148.54166666666669,208.275,91,0,3.6731765637680605
YDR523C,0.044444444444444446,1.3243178718389779,35.916666666666664,105.35714285714285,45,0,2.3243178718389776
R0030W,1.0,0.22564102564102564,0.0,2.321428571428571,2,0,1.2256410256410257
YOR101W,0.13333333333333333,0.4065934065934066,2.25,4.285714285714287,6,0,1.4065934065934065
YOR351C,0.052564102564102565,1.1899991413878732,0.0,121.91666666666666,40,0,2.189999141387873
YAL001C,0.0,0.0,0.0,0.0,1,1,0.0
YBR123C,0.07142857142857142,0.5535714285714286,3.0,0.0,8,1,0.6826036866359447
YAL002W,0.32142857142857145,1.5279576136775193,9.75,2.0041666666666664,8,0,2.5279576136775193
YCL018W,0.024400330851943756,3.8036018207005706,830.0000000000002,391.4709620444914,156,0,4.803601820700571
YDR171W,0.023497267759562842,1.1860065188457263,0.0,60.458383446618754,61,0,2.1860065188457263
YGL206C,0.020833333333333332,1.1542099694387298,81.74166666666667,55.13013375513376,64,0,2.15420996943873
YKR026C,0.02879811930649427,2.215589091909439,0.0,168.26666666666668,83,0,3.215589091909439
YLR148W,0.08187134502923976,1.4145207202436119,21.11111111111111,11.5015873015873,19,0,2.414520720243612
YLR396C,0.47619047619047616,2.4841269841269837,36.666666666666664,5.916666666666666,7,0,3.4841269841269837
YMR231W,0.6190476190476191,3.484126984126984,18.944444444444446,2.0041666666666664,7,0,4.059354774559786
YPL045W,0.5238095238095238,2.928571428571429,22.333333333333332,2.0041666666666664,7,1,3.6129210220673635
YAL003W,1.0,0.1029292793096474,0.0,8.5,3,1,1.1029292793096475
YBR118W,0.029853479853479855,3.011809099026531,0.0,1018.3333333333331,105,0,4.0118090990265305
YKL081W,0.05665024630541872,0.9139102926484921,83.66666666666666,76.33333333333333,29,0,1.913910292648492
YML064C,0.015935956905581326,2.608922089860491,0.0,405.59126984127,164,1,3.608922089860491
YAL004W,0.0,0.0,0.0,0.0,2,0,0.0
YGL181W,0.02536997885835095,0.7586578006004708,168.0,2.1142857142857143,44,0,1.7586578006004707
YML109W,0.0873440285204991,2.4490950925183173,0.0,96.23333333333332,34,0,3.4490950925183173
YAL005C,0.10476190476190476,0.86785260655254,16.499999999999996,19.04809161426809,15,0,1.86785260655254
YAR002W,0.3076923076923077,1.4737717833300388,33.94444444444445,43.48757908757908,13,0,2.4737717833300388
YCL028W,0.047619047619047616,0.558035498749523,18.75,120.0,22,1,1.5580354987495229
YDR192C,0.06451612903225806,1.6520426092316949,28.39583333333333,37.42857142857143,31,0,2.652042609231695
YHR069C,0.5151515151515151,4.603943929987022,35.52777777777778,38.08030303030304,12,1,5.603943929987022
YLR310C,0.018108651911468814,1.1856962139694585,142.33333333333331,89.1845238095238,71,1,2.1856962139694582
YLR335W,0.26900584795321636,2.795389719034557,49.666666666666664,40.0458041958042,19,0,3.795389719034557
YLR347C,0.04689265536723164,2.234007799877692,103.3888888888889,115.04745532245532,60,1,3.234007799877692
YNL007C,0.03333333333333333,0.21255777057322206,2.9166666666666665,3.2727272727272725,16,1,1.212557770573222
YNL064C,0.022325761987963502,2.203747991553702,171.58333333333331,279.3538373391316,102,0,3.203747991553702
