protein,CC,ECC,SL_Nb,GO_Nb,degree,essential,MEM_FET
Q0045,0.0,0.0,0.0,0.0,1,0,0.0
YGL187C,0.0,0.0,0.0,0.0,4,0,0.0
Q0085,0.0,0.0,0.0,0.0,1,0,0.0
YPL078C,0.0,0.0,0.0,0.0,3,0,0.0
Q0250,0.0,0.0,0.0,0.0,2,0,0.0
YER154W,0.0,0.0,0.0,0.0,5,0,0.0
Q0275,0.0,0.0,0.0,0.0,2,0,0.0
YAL001C,0.16666666666666666,0.3269230769230769,1.0,4.5,4,1,1.3269230769230769
YDR362C,0.0,0.0,0.0,0.0,2,1,0.0
YER148W,0.15384615384615385,1.5685809031010272,20.5,12.652614379084968,14,1,2.568580903101027
YGR246C,0.1,0.3269230769230769,4.5,3.4333333333333336,5,1,1.3269230769230769
YAL002W,0.28888888888888886,0.46812035817521463,41.833333333333336,13.55768398268398,10,0,1.4681203581752147
YOR089C,0.16176470588235295,1.1205975784948254,41.38888888888889,17.52012987012987,17,0,2.1205975784948254
YAL003W,0.0,0.0,0.0,0.0,3,1,0.0
YBR118W,0.0,0.0,0.0,0.0,2,0,0.0
YKL081W,0.0,0.0,0.0,0.0,3,0,0.0
YPR080W,0.0,0.0,0.0,0.0,2,0,0.0
YAL004W,0.0,0.0,0.0,0.0,1,0,0.0
YML109W,0.09473684210526316,1.5602016698577326,0.0,45.75833333333333,20,0,2.5602016698577326
YAL005C,0.10714285714285714,0.5719548425430778,3.5,4.3127828054298645,8,0,1.5719548425430778
YAL040C,0.12418300653594772,2.1428571428571432,0.0,46.243500127323664,18,0,3.1428571428571432
YER151C,0.09523809523809523,0.14313407181054238,0.0,0.0,7,0,0.8085109037094905
YJL061W,0.1111111111111111,0.648713795364264,8.3125,16.94102564102564,9,1,1.648713795364264
YLR310C,0.06060606060606061,0.6993006993006993,13.333333333333334,7.446428571428571,12,1,1.6993006993006992
YNL064C,0.09090909090909091,0.7009537297561801,13.083333333333334,7.769796380090497,11,0,1.70095372975618
YNL189W,0.003544061302681992,0.5138888888888882,46.0,31.03333333333333,145,1,1.5138888888888882
YPL240C,0.13333333333333333,1.2324295587453482,30.0,10.521703296703295,10,0,2.2324295587453484
YAL009W,0.2,0.47204968944099374,3.2777777777777777,3.892857142857143,5,0,1.4720496894409938
YDL116W,0.0036231884057971015,0.08695652173913043,1.5,2.017857142857143,24,0,1.0869565217391304
YGL100W,0.0,0.0,0.0,0.0,2,0,0.0
YHR004C,0.14285714285714285,0.5242790531749068,9.055555555555555,12.285714285714286,8,0,1.5242790531749066
YKL057C,0.03571428571428571,0.2857142857142857,1.5,2.017857142857143,8,0,1.2857142857142856
YML103C,0.16666666666666666,0.47619047619047616,1.8958333333333333,2.017857142857143,4,0,1.4761904761904763
YAL011W,0.2222222222222222,1.2988952309631483,65.66666666666667,21.627006327006328,18,0,2.298895230963148
YDL181W,0.0,0.0,0.0,0.0,6,0,0.0
YHR158C,0.051470588235294115,0.5678466620762017,0.0,8.69047619047619,17,0,1.5678466620762017
YIR018W,0.0,0.0,0.0,0.0,4,0,0.0
YOR127W,0.16666666666666666,0.5687183648354626,0.0,17.014485514485518,13,0,1.5687183648354626
YOR269W,0.21937321937321938,2.7476055427242874,113.16666666666667,45.99441391941392,27,0,3.7476055427242874
YAL013W,0.03460764587525151,2.2383633320253034,151.16666666666666,89.89943545017076,71,0,3.2383633320253034
YBL008W,0.13333333333333333,0.2543928462360666,1.0,0.0,6,0,0.7785165993450877
YBL027W,0.0,0.0,0.0,0.0,4,0,0.0
YBR103W,0.12121212121212122,0.8837272792443363,48.333333333333336,44.2,22,0,1.8837272792443363
YBR171W,0.26373626373626374,0.5698864749869885,9.5,46.4,14,0,1.5698864749869885
YCR033W,0.2,0.053702461297398,4.0,2.023809523809524,5,0,1.053702461297398
YDL002C,0.19047619047619047,0.5688311688311688,7.5,8.5,7,0,1.568831168831169
YDL074C,0.1368421052631579,1.6093494211091495,61.166666666666664,18.09105339105339,20,0,2.6093494211091492
YDL080C,0.0,0.0,0.0,0.0,3,0,0.0
YDR146C,0.03571428571428571,0.15734989648033126,0.0,2.5,8,0,1.1573498964803313
YDR181C,0.0,0.0,0.0,0.0,1,0,0.0
YDR334W,0.2692307692307692,0.5589719557158044,47.833333333333336,14.75887445887446,13,0,1.5589719557158044
YDR363W-A,0.09090909090909091,0.5987734487734487,0.0,0.0,11,0,0.7505989699205748
YDR392W,0.45789473684210524,8.509454786699367,30.0,60.955872850919285,20,0,9.509454786699367
YDR485C,0.24242424242424243,0.3703776595903855,9.5,28.5,12,0,1.3703776595903854
YER016W,0.11824668705402651,12.159188710468818,1447.4999999999998,811.3438977688977,109,1,13.159188710468818
YER111C,0.2943722943722944,2.3443993542375328,0.0,42.39455266955267,22,0,3.3443993542375328
YER139C,0.6666666666666666,0.050649350649350645,2.75,6.333333333333333,3,0,1.0506493506493506
YFR010W,0.14285714285714285,0.12710825721130659,0.0,4.666666666666666,8,0,1.1271082572113067
YGL127C,0.009737098344693282,0.7224982027318475,50.0,64.9595238095238,79,0,1.7224982027318476
YGL133W,1.0,0.025396825396825397,0.0,0.0,2,0,1.0253968253968253
YGL149W,0.0,0.0,0.0,0.0,3,0,0.0
YGL161C,0.15151515151515152,1.5938040287885489,48.25,18.75,12,0,2.593804028788549
YGL167C,0.21428571428571427,0.3749422502038228,18.416666666666668,14.726190476190474,8,0,1.3749422502038229
YGL194C,0.26666666666666666,0.11043344840813195,0.0,4.773809523809524,6,0,1.110433448408132
YGL244W,0.22857142857142856,0.8454574222572739,100.66666666666666,27.83051948051948,15,0,1.845457422257274
YGR105W,0.25,0.2256602413229718,2.8333333333333335,18.6,8,0,1.2256602413229718
YGR181W,0.0,0.0,0.0,0.0,4,0,0.0
YGR182C,0.06666666666666667,0.021690590111642743,0.0,0.0,6,0,1.0216905901116426
YGR200C,0.38095238095238093,0.23296616412900473,9.75,4.303113553113553,7,0,1.2329661641290048
YGR270W,0.5714285714285714,0.19482109581152965,0.0,6.115384615384615,7,0,1.1948210958115297
YHR041C,0.021739130434782608,0.49254658385093164,23.333333333333332,4.063157894736842,24,0,1.4925465838509315
YHR060W,0.07692307692307693,0.5391239286265969,0.0,23.0,14,0,1.539123928626597
YHR178W,0.04329004329004329,0.1974108220152524,0.0,5.869047619047619,22,0,1.1974108220152524
YHR200W,0.16666666666666666,0.5412756371854448,0.0,27.4,12,0,1.5412756371854448
YJL115W,0.2777777777777778,0.4273782177429499,42.66666666666667,4.55672268907563,9,0,1.42737821774295
YJR073C,0.21818181818181817,0.43135052821584696,13.972222222222221,27.714285714285715,11,0,1.431350528215847
YJR140C,0.19047619047619047,0.1538821740047849,4.5,3.939393939393939,7,0,1.1538821740047849
YKL118W,0.2222222222222222,0.18159052227899983,0.0,4.067857142857143,9,0,1.1815905222789997
YKR029C,0.3333333333333333,0.08652158652158654,0.0,0.0,4,0,1.0865215865215865
YLR055C,0.5359477124183006,8.3178273791067,24.0,96.5333333333333,18,0,9.3178273791067
YLR085C,0.10621468926553672,4.788468895442562,228.58333333333334,395.3166666666667,60,0,5.788468895442562
YLR087C,0.15384615384615385,0.45923271004132904,81.08333333333333,17.687229437229437,14,0,1.459232710041329
YLR111W,0.5111111111111111,0.8642730960179883,0.0,21.458297258297257,10,0,1.8642730960179883
