protein,CC,ECC,SL_Nb,GO_Nb,degree,essential,MEM_FET
MEL1,0.0,0.0,0.0,0.0,1,0,0.0
YJL092W,0.0,0.0,0.0,0.0,7,0,0.0
SSR1,0.0,0.0,0.0,0.0,2,0,0.0
YOL132W,0.0,0.0,0.0,0.0,2,0,0.0
YPL149W,0.3333333333333333,0.16025641025641024,2.25,4.3358974358974365,3,0,1.1602564102564101
YAL001C,1.0,3.0130718954248366,2.5,6.316666666666666,5,1,4.0130718954248366
YBR123C,0.5238095238095238,2.9575163398692808,17.5,5.623809523809523,7,1,3.9575163398692808
YDR362C,0.47619047619047616,2.679738562091503,16.5,9.25,7,1,3.679738562091503
YGR047C,0.26666666666666666,2.457516339869281,18.5,5.623809523809523,10,1,3.457516339869281
YOR110W,0.1568627450980392,2.2931102265467596,42.0,25.47619047619048,18,1,3.2931102265467596
YPL007C,1.0,3.0130718954248366,16.5,7.8,5,1,4.0130718954248366
YAL003W,0.39285714285714285,2.8539682539682536,0.0,9.1,8,1,3.8539682539682536
YBR025C,0.1111111111111111,0.687689576505366,13.333333333333334,13.666666666666668,10,0,1.6876895765053659
YBR118W,0.2857142857142857,1.8186958874458874,0.0,13.0,8,0,2.8186958874458874
YKL081W,0.2545454545454545,2.5928030303030303,15.833333333333334,24.666666666666668,11,0,3.5928030303030303
YKR084C,0.6,2.8,4.5,5.3,6,0,3.8
YOL139C,0.18494623655913978,4.109715763318434,0.0,144.82500000000005,31,1,5.109715763318434
YPL048W,1.0,2.0785714285714283,1.0,0.8999999999999999,4,0,2.5596710849288167
YPL226W,1.0,0.24285714285714285,0.0,0.3,2,0,1.2428571428571429
YPR080W,0.9,2.95,0.0,5.3,5,0,3.95
YAL004W,0.0,0.0,0.0,0.0,2,0,0.0
YGL181W,0.015503875968992248,0.6425681959312708,46.78333333333334,2.1142857142857143,43,0,1.6425681959312708
YML109W,0.07816091954022988,2.344827586206897,0.0,77.65119047619046,30,0,3.344827586206897
YAL005C,0.10909090909090909,0.6156641265062603,11.888888888888888,6.248626373626372,11,0,1.6156641265062603
YAR002W,0.06666666666666667,0.1967674210006459,8.194444444444445,0.0,10,0,0.5355768963072711
YDR192C,0.05591397849462366,1.5343153786861843,29.27083333333333,32.653571428571425,31,0,2.534315378686184
YHR069C,0.5904761904761905,6.863572329516602,28.333333333333336,54.58528138528138,15,1,7.863572329516602
YLR310C,0.06666666666666667,1.0509803921568628,20.166666666666664,25.196428571428573,16,1,2.0509803921568626
YLR335W,0.19117647058823528,2.144949351369886,34.472222222222214,18.489210789210787,17,0,3.144949351369886
YLR347C,0.06980433632998413,3.9534023796231756,74.72222222222224,119.98531746031752,62,1,4.953402379623176
YNL007C,0.0,0.0,0.0,0.0,3,1,0.0
YNL064C,0.01818181818181818,0.07448275862068965,2.9166666666666665,0.5882352941176471,11,0,1.0744827586206895
YOR098C,0.022067363530778164,0.919388176932617,37.83333333333333,25.47344322344322,42,1,1.919388176932617
YOR160W,0.09523809523809523,0.2577235772357724,10.583333333333332,1.1428571428571428,7,1,1.2577235772357724
YPL240C,0.0915032679738562,1.6215686274509806,33.0,27.27087912087912,18,0,2.621568627450981
YAL007C,1.0,0.25,3.0,2.3,2,0,1.25
YGL200C,0.6111111111111112,4.295454545454546,37.19444444444444,19.05,9,0,5.295454545454546
YML012W,0.6111111111111112,4.295454545454546,37.19444444444444,29.75,9,0,5.295454545454546
YAL011W,0.06666666666666667,0.24285714285714285,0.0,0.0,6,0,0.5173669467787115
YDL181W,0.4789473684210526,8.923099114693208,22.0,63.66666666666666,20,0,9.923099114693208
YER081W,0.0015677491601343784,0.14893617021276592,0.0,12.0,95,0,1.1489361702127658
YHR158C,0.01818181818181818,0.2,0.0,5.333333333333333,11,0,1.2
YIR018W,0.0,0.0,0.0,0.0,4,0,0.0
YOR127W,0.08333333333333333,0.41666666666666663,0.0,7.195804195804195,9,0,1.4166666666666665
YOR269W,0.03571428571428571,0.24285714285714285,0.0,0.0,8,0,0.3899159663865546
YAL012W,0.2,0.7246753246753246,21.833333333333332,0.0,6,1,1.000660987757762
YER003C,0.0,0.0,0.0,0.0,1,1,0.0
