protein,CC,ECC,SL_Nb,GO_Nb,degree,essential,MEM_FET
YDL106C,0.0,0.0,0.0,0.0,4,0,0.0
YKR099W,0.0,0.0,0.0,0.0,3,0,0.0
YKL205W,0.1,0.18803418803418803,8.125,5.9,5,1,1.188034188034188
YNR034W,0.0,0.0,0.0,0.0,1,0,0.0
YGL035C,0.1,0.375,2.0,4.714285714285714,5,0,1.375
YBR112C,0.08333333333333333,0.75,5.0,4.790909090909091,9,1,1.75
YBR195C,0.0,0.0,0.0,3.2,1,0,1.0
YML102W,0.0,0.0,0.0,1.25,1,0,1.0
YNL259C,0.0,0.0,0.0,0.0,1,0,0.0
YDR270W,0.0,0.0,0.0,0.0,1,0,0.0
YBR010W,0.22058823529411764,3.6180555555555554,0.0,16.004901960784313,17,0,4.618055555555555
YLR442C,0.2857142857142857,0.9852272727272727,4.0,6.259103641456583,7,0,1.9852272727272728
YBR009C,0.1380952380952381,2.9,0.0,13.683473389355743,21,1,3.9
YDR227W,0.05555555555555555,0.2851190476190476,0.0,0.0,9,0,0.4799694303608708
YNL216W,0.0,0.0,0.0,0.0,6,1,0.0
YDR225W,0.75,5.377272727272727,7.0,35.900000000000006,9,0,6.377272727272727
YDR224C,0.42424242424242425,4.47260101010101,7.0,19.914285714285715,12,1,5.47260101010101
YLR182W,0.13333333333333333,0.6916666666666667,0.0,3.0,6,1,1.6916666666666667
YER111C,0.3333333333333333,0.6916666666666667,0.0,4.587301587301587,4,0,1.6916666666666667
YPR119W,0.0,0.0,0.0,0.0,5,0,0.0
YPL204W,0.5,2.0,9.377777777777778,2.2666666666666666,4,1,3.0
YDR085C,0.0,0.0,0.0,0.0,3,0,0.0
YHR107C,0.08974358974358974,1.107142857142857,6.0,19.943722943722943,13,1,2.1071428571428568
YDR477W,0.11428571428571428,1.7142857142857144,19.8125,5.885714285714286,15,0,2.7142857142857144
YNL257C,0.0,0.0,0.0,0.0,1,0,0.0
YER032W,0.027777777777777776,0.20833333333333331,0.0,2.2403846153846154,9,0,1.2083333333333333
YDR195W,0.0,0.0,0.0,0.0,4,0,0.0
YLR240W,0.0,0.0,0.0,0.0,1,1,0.0
YBR097W,0.0,0.0,0.0,0.0,1,0,0.0
YGL086W,0.0,0.0,0.0,7.428571428571429,5,0,1.0
YGL116W,0.0,0.0,0.0,5.2,4,1,1.0
